mnemosyne	Mnēmosýnē	mnemosyne	greek	Memory, Muses' Mother	Memory (from μνήμη)
artemis	Ártemis	artemis	greek	Hunt, Wilderness, Moon	Safe, unharmed (from ἀρτεμής)
atlas	Átlas	atlas	greek	Bearer of the Heavens	Enduring, suffering (from τλάω)
dionysos	Diónysos	dionysos	greek	Wine, Ecstasy, Theatre	God of Nysa (mountain of ecstasy)
medousa	Médousa	medousa	greek	Gorgon, Guardian	Guardian, ruler (from μέδω)
kronos	Krónos	kronos	greek	Time, Harvest, Titans	Youngest Titan, personification of time, who castrated and deposed his father Ur
rhea	Rhéā	rhea	greek	Motherhood, Fertility, Titans	Flow, ease (from ῥέω)
themis	Themis	themis	greek	Divine Law, Order, Custom	A Titaness, the personification of divine order, law, and established custom; a 
hebe	Hebe	hebe	greek	Youth, Cupbearer	Youth (from ἥβη)
pan	Pān	pan	greek	Wilderness, Shepherds, Flocks	God of shepherds, flocks, mountain wilds, and the panic that strikes lonely plac
moirai	Moirai	moirai	greek	Fate, Destiny, Thread	Apportioners (from μείρομαι)
olympos	Ólympos	olympos	greek-location	Mountain of the Gods	Bright, shining mountain
athenai	Athēnai	athenai	greek-location	City of Wisdom	Of Athena
sparte	Spártē	sparte	greek-location	Warrior City	Sown land (from σπείρω)
delphoi	Delphoí	delphoi	greek-location	Oracle of Apollo	Womb (from δελφύς)
korinthos	Kórinthos	korinthos	greek-location	Wealthy Port City	Unknown; possibly pre-Greek
troia	Troíā	troia	greek-location	City of Priam	Unknown; possibly from Τρωός
thebai	Thēbaí	thebai	greek-location	City of Seven Gates	Unknown; possibly Egyptian origin
krete	Krḗtē	krete	greek-location	Island of Minos	Unknown; possibly pre-Greek
ithake	Ithákē	ithake	greek-location	Island of Odysseus	Unknown
mykenai	Mykēnai	mykenai	greek-location	Citadel of Agamemnon	Mushroom-shaped? (etymology disputed)
delos	Dêlos	delos	greek-location	Birthplace of Apollo	Clear, visible (from δῆλος)
boiotia	Boiōtia	boiotia	greek-location	Land of Thebes, Hesiod	Cow-land (from βοῦς)
phokis	Phōkis	phokis	greek-location	Region of Delphi	Seal (from φώκη)
aitolia	Aitōlia	aitolia	greek-location	Western Greece, Calydon	Etholian? (etymology uncertain)
epeiros	Ēpeiros	epeiros	greek-location	Northwestern Greece, Dodona	Mainland (from ἤπειρος)
thrake	Thrákē	thrake	greek-location	Northeast Frontier, Orpheus	Wild, fierce land
sikyon	Sikyōn	sikyon	greek-location	Peloponnesian City	Unknown; possibly pre-Greek
asgardr	Ásgarðr	asgardr	norse	Realm of the Æsir	Enclosure of the gods (from áss + garðr)
valholl	Valhǫll	valholl	norse	Hall of the Slain	Hall of the slain warriors
ragnarok	Ragnarǫk	ragnarok	norse	Doom of the Gods	Twilight of the gods (from ragna + rǫk)
midgardr	Miðgarðr	midgardr	norse	Middle Enclosure (Earth)	Middle enclosure (from mið + garðr)
alfheimr	Álfheimr	alfheimr	norse	Realm of the Light Elves	Elf-home (from álfr + heimr)
jotunheimr	Jötunheimr	jotunheimr	norse	Land of the Giants	Giant-home (from jötunn + heimr)
helheimr	Helheimr	helheimr	norse	Realm of the Dead	Hel's home (from Hel + heimr)
jormungandr	Jǫrmungandr	jormungandr	norse	World Serpent	Huge monster (from jǫrmun + gandr)
tyr	Týr	tyr	norse	War, Law, Oaths	God (cognate with Greek Zeus, Latin Jove)
thor	Þórr	thor	norse	Thunder, Storms, Oak	Thunder (from *þunraz)
odinn	Óðinn	odinn	norse	Wisdom, War, Death, Poetry	Fury, possession (from *wōđanaz)
baldr	Baldr	baldr	norse	Light, Beauty, Purity	Lord, prince (from *balþraz)
freyr	Freyr	freyr	norse	Fertility, Sunshine, Rain	Lord (from *frawjaz)
freyja	Freyja	freyja	norse	Love, Fertility, Seiðr	Lady (from *frawjōn)
frigg	Frigg	frigg	norse	Marriage, Motherhood, Queenship	Beloved (from *frijjō)
njordr	Njǫrðr	njordr	norse	Sea, Wind, Fishing, Wealth	Vigorous (from *nerþuz)
skadi	Skaði	skadi	norse	Winter, Mountains, Hunting	Shadow, harm (from *skadwō)
heimdallr	Heimdallr	heimdallr	norse	Foreknowledge, Watchman, Bifrost	World-brightener (from heimr + dallr)
vidarr	Víðarr	vidarr	norse	Vengeance, Silence, Survival	Wide-ruler (from víðr + arr)
hel	Hel	hel	norse	Death, Underworld, Souls	Hidden one (from *heljan)
nidhogg	Níðhǫggr	nidhogg	norse	Corruption, Tree-Root Dragon	Dread-biter (from níð + hǫgg)
audumla	Auðumla	audumla	norse	Primordial Cow, Nourishment	Rich-honeyed (from auðr + humla)
ymir	Ymir	ymir	norse	Primordial Giant, Chaos	Twin, screamer (from *ymijaz)
fenrir	Fenrir	fenrir	norse	Wolf, Destruction, Binding	Fen-dweller (from fen + herr)
ra	Rꜥ	ra	egyptian	Sun, Creation, Kingship	Sun (from Egyptian rꜥ)
osiris	Wsjr	osiris	egyptian	Afterlife, Resurrection, Vegetation	Mighty One (Egyptian wsjr)
anubis	ꜣnpw	anubis	egyptian	Mummification, Afterlife, Jackals	Egyptian god of embalming and the necropolis; the name's etymology is uncertain 
horus	Ḥr	horus	egyptian	Sky, Kingship, Falcon	The Distant One (Egyptian ḥr)
isis	Ꜣst	isis	egyptian	Magic, Motherhood, Throne	Throne (Egyptian ꜣst)
thoth	Ḏḥwty	thoth	egyptian	Writing, Wisdom, Moon	He who is like the ibis
amun	Ꜣmun	amun	egyptian	Wind, Kingship, Thebes	Hidden One (Egyptian jmn; vocalized Ꜣmun)
ptah	Ptḥ	ptah	egyptian	Craftsmen, Creation, Memphis	Sculptor (Egyptian ptḥ)
sekhmet	Sḫmt	sekhmet	egyptian	War, Vengeance, Healing	The Powerful One (Egyptian sḫmt)
bastet	Bꜣstt	bastet	egyptian	Home, Fertility, Cats	She of the ointment jar (Egyptian bꜣstt)
hathor	Ḥwt-ḥr	hathor	egyptian	Love, Beauty, Music, Motherhood	House of Horus (Egyptian ḥwt-ḥr)
nut	Nwt	nut	egyptian	Sky, Stars, Cosmos	Water-pot, sky (Egyptian nwt)
geb	Gb	geb	egyptian	Earth, Vegetation, Snakes	Earth, goose (Egyptian gb)
maat	Mꜣꜥt	maat	egyptian	Truth, Justice, Order	Truth, straightness (Egyptian mꜣꜥt)
khonsu	Ḫnsw	khonsu	egyptian	Moon, Time, Healing	Traveller (Egyptian ḫnsw)
sobek	Sbk	sobek	egyptian	Nile, Fertility, Crocodiles	He who causes to be fertile (Egyptian sbk)
rama	Rāma	rama	sanskrit	Virtue, Kingship, Avatar of Vishnu	The beloved prince of Ayodhyā — hero of the Rāmāyaṇa and seventh avatāra of Viṣṇ
durga	Durgā	durga	sanskrit	Protection, Strength, War	'The Inaccessible One' — the warrior goddess, daughter of Himavat and consort of
shiva	Śiva	shiva	sanskrit	Destruction, Transformation, Dance	The auspicious one; the deity of destruction, transformation, and regeneration, 
vishnu	Viṣṇu	vishnu	sanskrit	Preservation, Protection, Universe	The Preserver — the principal Hindu deity who descends as avatāras to sustain co
krishna	Kṛṣṇa	krishna	sanskrit	Love, Compassion, Avatar of Vishnu	The Black One — a celebrated avatāra of the god Viṣṇu, sometimes identified with
ganesha	Gaṇeśa	ganesha	sanskrit	Wisdom, Beginnings, Obstacle-Removal	Lord of the gaṇas (from गणेश)
lakshmi	Lakṣmī	lakshmi	sanskrit	Wealth, Fortune, Beauty	The goddess of fortune and beauty — Viṣṇu's consort, born from the churning of t
saraswati	Sarasvatī	saraswati	sanskrit	Knowledge, Music, Arts, Speech	The goddess of eloquence and learning — river of sacred speech (saras 'flowing w
brahma	Brahmā	brahma	sanskrit	Creation, Vedas, Cosmology	The one impersonal universal Spirit manifested as a personal Creator, and the fi
surya	Sūrya	surya	sanskrit	Sun, Light, Health	The Sun — the Vedic solar deity who rides the one-wheeled chariot of seven mares
indra	Indra	indra	sanskrit	Storms, War, Kingship	the god of the atmosphere and sky
agni	Agni	agni	sanskrit	Fire, Sacrifice, Messenger	the god of fire, the fire of the stomach, digestive faculty, gastric fluid
yama	Yama	yama	sanskrit	Death, Justice, Underworld	The god who presides over the Pitṛs (the departed fathers) and rules the spirits
kubera	Kubera	kubera	sanskrit	Wealth, Treasure, North	Originally a chief of the evil spirits of darkness, bearing the name Vaiśravaṇa;
hanuman	Hanumān	hanuman	sanskrit	Devotion, Strength, Messenger	The Large-Jawed One — the monkey-god of devotion and strength, Rāma's peerless s
lugh	Lúg	lugh	celtic	Light, Crafts, Skills	Oath (from Old Irish lúg)
morrigan	Morrígan	morrigan	celtic	War, Fate, Death, Sovereignty	Phantom Queen (from Old Irish Morrígan)
manannan	Manannán	manannan	celtic	Sea, Otherworld, Mist	Son of the sea (from Old Irish Manannán)
cernunnos	Cernunnos	cernunnos	celtic	Wilderness, Animals, Fertility	The Horned One (from Gaulish)
brigid	Brigid	brigid	celtic	Poetry, Healing, Smithcraft, Fire	The Exalted One (from Old Irish Brigit)
dagda	Dagda	dagda	celtic	Abundance, Strength, Magic	The Good God (from Old Irish Dagde)
ishtar	Ištar	ishtar	mesopotamian	Love, War, Fertility, Venus	Lady of Heaven (Akkadian Ištar)
ashur	Aššur	ashur	mesopotamian	War, Kingship, Assyrian Patron	National god of Assyria (Akkadian Aššur)
shamash	Šamaš	shamash	mesopotamian	Sun, Justice, Law	Sun (Akkadian Šamaš)
marduk	Marduk	marduk	mesopotamian	Creation, Babylon, Storms	Solar calf (Akkadian Marduk)
enlil	Enlīl	enlil	mesopotamian	Phonological Reconstruction, Wind, Air, Storms, Kingship	Reconstruction node for the Sumerian/Akkadian deity Enlil: the macron marks a di
ea	Ēa	ea	mesopotamian	Phonological Reconstruction, Water, Wisdom	Reconstruction node for the Akkadian deity Ea (Sumerian Enki): the macron marks 
tane	Tāne	tane	polynesian	Forests, Birds, First Man	Man (from Proto-Polynesian *tane)
tu	Tū	tu	polynesian	War, Standing, Stability	Stand, erect (from Proto-Polynesian *tuu)
maui	Māui	maui	polynesian	Trickery, Fishing, Fire, Islands	Trickster hero (from Proto-Polynesian *maaui)
rongo	Rongo	rongo	polynesian	Agriculture, Peace, Cultivated Foods	Peace, news (from Proto-Polynesian *longo)
tangaroa	Tangaroa	tangaroa	polynesian	Ocean, Sea Creatures, Fishing	God of the sea (from Proto-Polynesian *Taŋaroa)
pele	Pele	pele	polynesian	Volcanoes, Fire, Lightning, Dance	One who shapes the sacred land (Hawaiian)
tokyo	Tōkyō	tokyo	japanese	Capital, Kanto Region	Eastern capital
osaka	Ōsaka	osaka	japanese	Merchant City, Kansai	Large hill or slope
kyoto	Kyōto	kyoto	japanese	Imperial Capital, Kansai	Capital city
kobe	Kōbe	kobe	japanese	Port City, Hyōgo	Door to the gods or support door
nikko	Nikkō	nikko	japanese	Sacred Site, Tochigi	Sunlight
hokkaido	Hokkaidō	hokkaido	japanese	Northern Island	Northern sea circuit
shikoku	Shikoku	shikoku	japanese	Smallest Main Island	Four provinces
nagoya	Nagoya	nagoya	japanese	Industrial Hub, Chūbu	Peaceful ancient house
amaterasu	Amaterasu	amaterasu	japanese	Sun Goddess, Shintō	Sun goddess in Shinto
susano	Susanō	susano	japanese	Storm God, Shintō	Impetuous male
tsukuyomi	Tsukuyomi	tsukuyomi	japanese	Moon God, Shintō	Moon reader
izanagi	Izanagi	izanagi	japanese	Creator God, Shintō	He who invites
inari	Inari	inari	japanese	Rice, Fertility, Foxes	Rice load
hachiman	Hachiman	hachiman	japanese	War, Archery, Protection	Eight banners
benzaiten	Benzaiten	benzaiten	japanese	Music, Wealth, Eloquence	Argumentation talent heaven
quetzalcoatl	Quetzalcōātl	quetzalcoatl	nahuatl	Wind, Wisdom, Morning Star	Feathered serpent
tezcatlipoca	Tēzcatlīpōca	tezcatlipoca	nahuatl	Night, Sorcery, Fate	Smoking mirror
tlaloc	Tlāloc	tlaloc	nahuatl	Rain, Water, Lightning	He who is made of earth
coatlicue	Cōātlīcue	coatlicue	nahuatl	Earth, Mother of Gods	She of the serpent skirt
chicomecoatl	Chicōmecōātl	chicomecoatl	nahuatl	Agriculture, Maize	Seven snakes
xochiquetzal	Xōchiquetzal	xochiquetzal	nahuatl	Beauty, Love, Flowers	Flower feather
coyolxauhqui	Coyolxāuhqui	coyolxauhqui	nahuatl	Moon, Leader of Centzon	Golden bells
huitzilopochtli	Huītzilōpōchtli	huitzilopochtli	nahuatl	Sun, War, Hummingbird	Left-handed hummingbird
xipe	Xipe	xipe	nahuatl	Spring, Agriculture, Flayed	The flayed one
metztli	Metztli	metztli	nahuatl	Moon	Moon
shango	Ṣàngó	shango	yoruba	Thunder, Fire, Justice	He who strikes
oya	Ọya	oya	yoruba	Wind, Storms, Change	She who tore
oshun	Ọṣun	oshun	yoruba	Love, Freshwater, Fertility	Sweet river
yemoja	Yemọja	yemoja	yoruba	Ocean, Motherhood, Protection	Mother whose children are fish
eshu	Ẹṣù	eshu	yoruba	Trickery, Crossroads, Messenger	Divine trickster
ogun	Ògún	ogun	yoruba	Iron, War, Labour	God of iron
obatala	Ọbàtálá	obatala	yoruba	Creation, Purity, Peace	King of the white cloth
olodumare	Olódùmarè	olodumare	yoruba	Supreme Creator	Owner of the universe
dazhbog	Dažbog	dazhbog	slavic	Sun, Wealth, Giving	Giving god
chernobog	Černobog	chernobog	slavic	Darkness, Chaos, Evil	Black god
belobog	Belobog	belobog	slavic	Light, Good, Fortune	White god
perun	Perun	perun	slavic	Thunder, Lightning, Oak	Thunderer, striker
veles	Veles	veles	slavic	Cattle, Commerce, Underworld	Cattle god, possibly wool
radagast	Radagast	radagast	slavic	Hospitality, Animals	Council of the gods
peleus	Pēleus	peleus	greek	Warrior, Father of Achilles	Of the clay earth
telamon	Telamōn	telamon	greek	Warrior, Father of Ajax	Bearer, supporter
oileus	Oïleus	oileus	greek	Warrior, Father of Ajax the Lesser	Of Oileus
diomedes	Diomēdēs	diomedes	greek	Warrior, King of Argos	Divine counsel
philoctetes	Philoktētēs	philoctetes	greek	Archer, Bearer of Heracles' bow	Loved by hearing
elektra	Ēlektra	elektra	greek	Princess, Daughter of Agamemnon	Amber, shining
orestes	Orestēs	orestes	greek	Prince, Avenger of Agamemnon	Mountain dweller
agamemnon	Agamemnōn	agamemnon	greek	King of Mycenae, Commander at Troy	Very steadfast
thersites	Thersitēs	thersites	greek	Soldier, Insolent Orator	Bold, impudent
patroclus	Patroklos	patroclus	greek	Warrior, Companion of Achilles	Father's glory
ajax	Aias	ajax	greek	Warrior, Bulwark of Achaeans	Of the earth
nestor	Nestōr	nestor	greek	King of Pylos, Wise Counselor	He who returns home
antilochus	Antílochos	antilochus	greek	Warrior, Son of Nestor	Against ambush
autolycus	Autólykos	autolycus	greek	Trickster, Grandfather of Odysseus	The wolf himself
montu	Mntw	montu	egyptian	War, Falcons, Thebes	Nomad, warrior god
anuket	Ꜥnqt	anuket	egyptian	Nile, Cataracts, Nubia	Embrace
serket	Srqt	serket	egyptian	Scorpions, Healing, Poison	She who causes the throat to breathe
neith	Nt	neith	egyptian	Weaving, War, Hunting	Water, the terrifying one
apep	ꜥꜣpp	apep	egyptian	Chaos, Darkness, Serpent	He who was spat out
tefnut	Tfnt	tefnut	egyptian	Moisture, Rain, Lions	That water, that spittle
sia	sjꜣ	sia	egyptian	Perception, Intellect, Divine Understanding	Perception, intellect, divine understanding
shu	Šw	shu	egyptian	Air, Wind, Lions	Emptiness, he who rises up
khnum	Ḫnmw	khnum	egyptian	Potter, Nile Silt, Creation	He who joins together
eir	Eir	eir	norse	Healing, Mercy, Medical Skill	Help, mercy
garmr	Garmr	garmr	norse	Guardian, Underworld Hound	Howler
hrungnir	Hrungnir	hrungnir	norse	Giant, Duel with Thor	Brawler
surtr	Surtr	surtr	norse	Fire, Ragnarök, Muspelheim	Black, the swarthy one
eggther	Eggþér	eggther	norse	Watchman, Ragnarök Herald	Sword guardian
logi	Logi	logi	norse	Fire, Flame, Giant	Flame
hraesvelgr	Hræsvelgr	hraesvelgr	norse	Giant, Eagle, Wind-maker	Corpse swallower
thjazi	Þjazi	thjazi	norse	Giant, Kidnapper of Idun	Seething one
suttungr	Suttungr	suttungr	norse	Giant, Guardian of Mead	Heavy with foundation
loki	Loki	loki	norse	Trickery, Chaos, Shape-shifter	Possibly knot, loop, or flame
chandra	Candra	chandra	sanskrit	Moon, Night, Soma	Glittering, shining — the moon personified as a god; also a name of Soma in his 
varuna	Varuṇa	varuna	sanskrit	Cosmic Order, Oceans, Law	The All-Enveloping Sky — the Vedic Āditya of the waters and of ṛta, paired with 
ganga	Gaṅgā	ganga	sanskrit	Sacred River, Purification	The river Ganges personified — eldest daughter of Himavat, brought from heaven b
parvati	Pārvatī	parvati	sanskrit	Mountains, Fertility, Devotion	'Daughter of the Mountain' — consort of Śiva, daughter of Himavat, mother of Gaṇ
kali	Kālī	kali	sanskrit	Time, Destruction, Empowerment	The Black One — the fierce goddess of time and destruction, consort of Śiva (fem
sita	Sītā	sita	sanskrit	Virtue, Devotion, Fertility	'Furrow' — the field-goddess, wife of Rāma and mother of his twin sons
arjuna	Arjuna	arjuna	sanskrit	Archery, Dharma, Bhagavad Gītā	The third of the Pāṇḍava princes, a son of Indra and Kuntī; the great archer of 
bhima	Bhīma	bhima	sanskrit	Strength, Mace, Wind-son	The second of the Pāṇḍu princes, also called Bhīmasena and Vṛkodara; the reputed
draupadi	Draupadī	draupadi	sanskrit	Queen, Fire-born, Dharma	patr.
karna	Karṇa	karna	sanskrit	Charity, Warrior, Sūryaputra	A king of Aṅga and the elder half-brother of the Pāṇḍu princes on the mother's s
ahuramazda	AhuraMazdā	ahuramazda	zoroastrian	Supreme Creator, Wisdom, Light	Wise lord
angramainyu	AŋraMainyu	angramainyu	zoroastrian	Destruction, Evil, Chaos	Destructive spirit
mithra	Miθra	mithra	zoroastrian	Covenant, Light, Truth	Contract, covenant
ahriman	Ahriman	ahriman	zoroastrian	Evil, Destruction, Lies	Evil spirit, destructive mind
inti	Inti	inti	incan	Sun, Empire, Agriculture	Sun
viracocha	Wiraqucha	viracocha	incan	Creator, Sky, Sea Foam	Sea of fat
pachamama	Pachamama	pachamama	incan	Earth, Harvest, Mother	Mother Earth
perseus	Perseus	perseus	greek	Hero, Slayer of Medousa	Destroyer, possibly Persian
orpheus	Orpheús	orpheus	greek	Poet, Musician, Underworld	Darkness of the night
atalanta	Atalantē	atalanta	greek	Huntress, Footrace, Arcadia	Equal in weight
castor	Kastōr	castor	greek	Horseman, Dioscuri, Gemini	Beaver, possibly shining
polydeuces	Polydeukēs	polydeuces	greek	Boxer, Dioscuri, Gemini	Very sweet, much wine
hector	Hektōr	hector	greek	Prince of Troy, Greatest Warrior	Holding fast
alexandros	Aléxandros	alexandros	greek	Prince of Troy, Paris	Defender of men
priamos	Príamos	priamos	greek	King of Troy, Father of Hector	Ransomed
penelope	Pēnelopē	penelope	greek	Queen of Ithaca, Faithful Wife	Weaver, duck
telemachus	Tēlemachos	telemachus	greek	Prince of Ithaca, Son of Odysseus	Far-fighter
megara	Megára	megara	greek	Princess, Wife of Herakles	Great, fierce
alcmene	Alkmēnē	alcmene	greek	Mother of Herakles, Mycenae	Strength of the moon
admetus	Admētos	admetus	greek	King of Pherae, Husband of Alcestis	Untamed
icarus	Íkaros	icarus	greek	Winged, Son of Daedalus	Follower
daedalus	Daidalos	daedalus	greek	Craftsman, Inventor, Wings	Cunningly wrought
eurydice	Eurydikē	eurydice	greek	Nymph, Wife of Orpheus	Wide justice
typhon	Typhōn	typhon	greek	Monster, Father of Monsters, Storms	Whirlwind, smoke
python	Pýthōn	python	greek	Serpent, Delphi, Slain by Apollo	To rot, decay
calypso	Kalypsō	calypso	greek	Nymph, Ogygia, Detainer of Odysseus	She who conceals
circe	Kírkē	circe	greek	Sorceress, Aeaea, Transformations	Falcon, bird of prey
thetis	Thétis	thetis	greek	Nereid, Mother of Achilles	Creation, disposal
scylla	Skýlla	scylla	greek	Monster, Strait of Messina	She who tears
charybdis	Chárybdis	charybdis	greek	Whirlpool, Strait of Messina	Suck down, swallow
ariadne	Ariadnē	ariadne	greek	Princess, Labyrinth, Thread	the daughter of Minos in Greek mythology
ganymede	Ganymēdēs	ganymede	greek	Youth, Cupbearer of the Gods	son of Tros in Greek mythology
arachne	Arachnē	arachne	greek	Weaver, Turned into Spider	Mythological weaver who was transformed into a spider
narcissus	Nárkissos	narcissus	greek	Youth, Self-love, Flower	Numbness, sleep
pandora	Pandōra	pandora	greek	First Woman, Box of Evils	All-gifted
sisyphus	Sísyphos	sisyphus	greek	Trickster, Eternal Boulder	Very wise
tantalus	Tántalos	tantalus	greek	King, Eternal Thirst and Hunger	To endure, to bear
ixion	Ixíōn	ixion	greek	King, Bound to Burning Wheel	Strong
sarpedon	Sarpēdōn	sarpedon	greek	Prince of Lycia, Son of Zeus	Sorely grieving
protesilaus	Prōtesilaos	protesilaus	greek	First Greek to Fall at Troy	First of the people
laocoon	Laokóōn	laocoon	greek	Priest, Warned Against Trojan Horse	He who sees the people
danae	Danaē	danae	greek	Princess, Mother of Perseus	She who judges
andromeda	Andromedē	andromeda	greek	Princess, Chained, Rescued by Perseus	Ruler of men
cassiopeia	Kassiópeia	cassiopeia	greek	Queen, Constellation, Boasted of Beauty	She whose words excel
cepheus	Kēpheus	cepheus	greek	King, Constellation, Father of Andromeda	Gardener
ker	Kēr	ker	greek	Violent Death, Doom, Fate	Doom, violent death (from κήρ)
coeus	Koîos	coeus	greek	Titan of Intellect	Questioning, inquiry
kreios	Kreîos	kreios	greek	Titan of Constellations	Ram, master
iapetus	Iapetós	iapetus	greek	Titan of Mortality	Piercer, wound
theia	Théia	theia	greek	Titaness of Sight	Goddess, divine
phoebe	Phoíbē	phoebe	greek	Titaness of Prophecy	Bright, shining
nyx	Nýx	nyx	greek	Night	Night
erebus	Érebos	erebus	greek	Darkness	Darkness
hemera	Hēméra	hemera	greek	Day	Day
aither	Aithḗr	aither	greek	Upper Air, Light	Bright upper air
ouranos	Ouranós	ouranos	greek	Sky	Heaven, sky
ananke	Anánkē	ananke	greek	Necessity, Compulsion	Necessity, constraint
phanes	Phánēs	phanes	greek	Procreation, Light	Bringer of light
odysseus	Odysseús	odysseus	greek	Cunning, Journey	Hated, painful
iason	Iásōn	iason	greek	Heroism, the Golden Fleece	Healer
argos	Árgos	argos	greek	Vigilance, Hera's Watcher	Shining, swift
midas	Mídas	midas	greek	King of Phrygia, the Golden Touch	Phrygian royal name
menelaus	Menélaos	menelaus	greek	King of Sparta	Enduring the people
aineias	Aineías	aineias	greek	Trojan Hero, Founder of Rome	Praiseworthy
cadmus	Kádmos	cadmus	greek	Founder of Thebes	From the east
minos	Mínōs	minos	greek	King of Crete, Judge of Dead	Moon-man
aegeus	Aigeús	aegeus	greek	King of Athens	Of the goat
pelops	Pélops	pelops	greek	King of Olympia	Dark face
meleagros	Meleágros	meleagros	greek	Hero of Calydon	Hunting, caring for the hunt
atreus	Atréus	atreus	greek	King of Mycenae	Fearless
hippolytus	Hippólutos	hippolytus	greek	Son of Theseus	Horse-looser
calliope	Kalliopē	calliope	greek	Epic Poetry	Beautiful-voiced
kleio	Kleió	kleio	greek	History	Proclaimer, glorifier
thaleia	Tháleia	thaleia	greek	Comedy, Idyll	Flourishing, blooming
euterpe	Eutérpē	euterpe	greek	Music, Lyric Poetry	Well-pleasing
polyhymnia	Polyhýmnia	polyhymnia	greek	Hymns, Sacred Poetry	Many hymns
terpsichore	Terpsichórē	terpsichore	greek	Dance	Delight in dancing
erato	Erátō	erato	greek	Love Poetry	Beloved, lovely
melpomene	Melpoménē	melpomene	greek	Tragedy	Singer, chorus-leader
ourania	Ouranía	ourania	greek	Astronomy	Heavenly
clotho	Klōthṓ	clotho	greek	Spinner of Life Thread	Spinner
lachesis	Láchesis	lachesis	greek	Allotter of Portions	Disposer of lots
atropos	Átropos	atropos	greek	Cutter of Thread	Inflexible, inevitable
nemesis	Némésis	nemesis	greek	Retribution	Distribution, righteous anger
iris	Íris	iris	greek	Rainbow, Messenger	Rainbow
eris	Éris	eris	greek	Strife, Discord	Strife
hypnos	Hýpnos	hypnos	greek	Sleep	Sleep
thanatos	Thánatos	thanatos	greek	Death	Death
phobos	Phóbos	phobos	greek	Fear, Panic	Fear
deimos	Deîmos	deimos	greek	Terror, Dread	Terror
elpis	Elpís	elpis	greek	Hope	Hope, expectation
ponos	Pónos	ponos	greek	Hard Labor, Toil	Toil, labor
geras	Gḗras	geras	greek	Old Age	Old age
cerberus	Kérberos	cerberus	greek	Underworld Guardian	Spot, darkness
hydra	Hýdra	hydra	greek	Many-Headed Serpent	Water serpent
minotauros	Minṓtauros	minotauros	greek	Beast of Crete	Bull of Minos
chimaira	Chímaira	chimaira	greek	Fire-Breathing Monster	She-goat
sphinx	Sphínx	sphinx	greek	Riddling Monster	Strangler
seiren	Seirḗn	seiren	greek	Enchanting Singer	Binder, entangler
harpyia	Hárpyia	harpyia	greek	Snatcher	Snatcher, robber
